Contig Number,Accession,Species,Gene ID,Gene Name,E-value
XP_004875370.1,Q9UBK9,Bos taurus,Uxt,Protein UXT OS=Homo sapiens GN=UXT PE=1 SV=1,7.00E-81
XP_004875369.1,Q9UBK9,Bos taurus,Uxt,Protein UXT OS=Homo sapiens GN=UXT PE=1 SV=1,2.00E-80
XP_004875361.1,O19004,Bos taurus,RAF1,Serine/threonine-protein kinase A-Raf OS=Sus ,0
XP_004875359.1,O19004,Bos taurus,RAF1,Serine/threonine-protein kinase A-Raf OS=Sus ,0
XP_004875358.1,P17600,Bos taurus,Syn1,Synapsin-1 OS=Homo sapiens GN=SYN1 PE=1 ,0
XP_004875357.1,P17600,Bos taurus,Syn1,Synapsin-1 OS=Homo sapiens GN=SYN1 PE=1 ,0
XP_004875304.1,P79101,Bos taurus,CPSF3,Cleavage and polyadenylation specificity ,0
XP_004875301.1,Q3SZ16,Bos taurus,IAH1,Isoamyl acetate-hydrolyzing esterase 1 homolog ,1.00E-128
XP_004875153.1,Q00994,Bos taurus,BEX5,Protein BEX3 OS=Homo sapiens GN=NGFRAP1 ,8.00E-15
XP_004875152.1,Q00994,Bos taurus,BEX5,Protein BEX3 OS=Homo sapiens GN=NGFRAP1 ,8.00E-15
XP_004875151.1,Q00994,Bos taurus,BEX5,Protein BEX3 OS=Homo sapiens GN=NGFRAP1 ,2.00E-14
XP_004875086.1,P51854,Bos taurus,TKTL1,Transketolase-like protein 1 OS=Homo sapiens ,8.00E-151
XP_004875031.1,Q2KI14,Bos taurus,ARD1A,N-terminal acetyltransferase complex ARD1 ,5.00E-142
XP_004875030.1,Q2KI14,Bos taurus,ARD1A,N-terminal acetyltransferase complex ARD1 ,1.00E-151
XP_004875029.1,Q2KI14,Bos taurus,ARD1A,N-terminal acetyltransferase complex ARD1 ,9.00E-159
XP_004875028.1,Q2KI14,Bos taurus,ARD1A,N-terminal acetyltransferase complex ARD1 ,9.00E-143
XP_004875027.1,Q2KI14,Bos taurus,ARD1A,N-terminal acetyltransferase complex ARD1 ,1.00E-152
XP_004875026.1,Q2KI14,Bos taurus,ARD1A,N-terminal acetyltransferase complex ARD1 ,6.00E-137
XP_004875025.1,Q2KI14,Bos taurus,ARD1A,N-terminal acetyltransferase complex ARD1 ,2.00E-113
XP_004875007.1,Q2TBX5,Bos taurus,Ssr4,Translocon-associated protein subunit delta ,8.00E-103
XP_004874969.1,P53675,Bos taurus,Cltc,Clathrin heavy chain 2 OS=Homo sapiens GN=CLTCL1 ,0
XP_004874880.1,Q6FIF0,Bos taurus,ZFAND6,AN1-type zinc finger protein 6 OS=Homo ,2.00E-115
XP_004874879.1,Q5R7S6,Bos taurus,ZFAND6,AN1-type zinc finger protein 6 OS=Pongo ,2.00E-129
XP_004874878.1,Q5R7S6,Bos taurus,ZFAND6,AN1-type zinc finger protein 6 OS=Pongo ,2.00E-129
XP_004874877.1,Q5R7S6,Bos taurus,ZFAND6,AN1-type zinc finger protein 6 OS=Pongo ,2.00E-129
XP_004874876.1,Q5R7S6,Bos taurus,ZFAND6,AN1-type zinc finger protein 6 OS=Pongo ,2.00E-129
XP_004874875.1,Q5R7S6,Bos taurus,ZFAND6,AN1-type zinc finger protein 6 OS=Pongo ,2.00E-129
XP_004874874.1,Q5R7S6,Bos taurus,ZFAND6,AN1-type zinc finger protein 6 OS=Pongo ,2.00E-129
XP_004874873.1,Q5R7S6,Bos taurus,ZFAND6,AN1-type zinc finger protein 6 OS=Pongo ,2.00E-129
XP_004874872.1,Q5R7S6,Bos taurus,ZFAND6,AN1-type zinc finger protein 6 OS=Pongo ,2.00E-129
XP_004874871.1,Q5R7S6,Bos taurus,ZFAND6,AN1-type zinc finger protein 6 OS=Pongo ,2.00E-129
XP_004874870.1,Q5R7S6,Bos taurus,ZFAND6,AN1-type zinc finger protein 6 OS=Pongo ,2.00E-129
XP_004874869.1,Q5R7S6,Bos taurus,ZFAND6,AN1-type zinc finger protein 6 OS=Pongo ,2.00E-129
XP_004874868.1,Q16548,Bos taurus,BCL2A1,Bcl-2-related protein A1 OS=Homo sapiens ,6.00E-79
XP_004874848.1,P13797,Bos taurus,Pls3,Plastin-3 OS=Homo sapiens GN=PLS3 PE=1 SV=4,0
XP_004874847.1,P13797,Bos taurus,Pls3,Plastin-3 OS=Homo sapiens GN=PLS3 PE=1 SV=4,0
XP_004874846.1,P13797,Bos taurus,Pls3,Plastin-3 OS=Homo sapiens GN=PLS3 PE=1 SV=4,0
XP_004874842.1,Q9NZR4,Bos taurus,Vsx1,Visual system homeobox 1 OS=Homo sapiens ,3.00E-75
XP_004874738.1,Q2YDF6,Bos taurus,MRPS35,"28S ribosomal protein S35, mitochondrial ",1.00E-179
XP_004874671.1,Q62844,Bos taurus,FYN,Tyrosine-protein kinase Fyn OS=Rattus norvegicus ,0
XP_004874664.1,Q96EU7,Bos taurus,C1GALT1C1,C1GALT1-specific chaperone 1 OS=Homo sapiens ,0
XP_004874630.1,Q2KIN0,Bos taurus,Zcchc7,Zinc finger CCHC domain-containing protein ,0
XP_004874629.1,Q2KIN0,Bos taurus,Zcchc7,Zinc finger CCHC domain-containing protein ,0
XP_004874628.1,Q2KIN0,Bos taurus,Zcchc7,Zinc finger CCHC domain-containing protein ,0
XP_004874627.1,Q2KIN0,Bos taurus,Zcchc7,Zinc finger CCHC domain-containing protein ,0
XP_004874618.1,Q9NY84,Bos taurus,VNN1,Vascular non-inflammatory molecule 3 OS=Homo ,0
XP_004874617.1,Q9NY84,Bos taurus,VNN1,Vascular non-inflammatory molecule 3 OS=Homo ,0
XP_004874616.1,Q9NY84,Bos taurus,Vnn1,Vascular non-inflammatory molecule 3 OS=Homo ,0
XP_004874603.1,Q8IWT0,Bos taurus,CG6353,Protein archease OS=Homo sapiens GN=ZBTB8OS ,6.00E-48
XP_004874519.1,P54877,Bos taurus,Nrgn,Neurogranin OS=Capra hircus GN=NRGN PE=3 ,2.00E-11
XP_004874499.1,A6NIK2,Bos taurus,LRRC10,LRRC10-like protein ENSP00000367315 OS=Homo ,5.00E-39
XP_004874467.1,Q13190,Bos taurus,Stx5,Syntaxin-5 OS=Homo sapiens GN=STX5 PE=1 ,0
XP_004874452.1,Q96G97,Bos taurus,Bscl2,Seipin OS=Homo sapiens GN=BSCL2 PE=1 SV=3,5.00E-173
XP_004874408.1,Q58DK4,Bos taurus,DHBK,Bifunctional ATP-dependent dihydroxyacetone ,2.00E-86
XP_004874406.1,Q58DK4,Bos taurus,DHBK,Bifunctional ATP-dependent dihydroxyacetone ,2.00E-87
XP_004874405.1,Q58DK4,Bos taurus,DHBK,Bifunctional ATP-dependent dihydroxyacetone ,4.00E-52
XP_004874403.1,Q58DK4,Bos taurus,DHBK,Bifunctional ATP-dependent dihydroxyacetone ,1.00E-74
XP_004874402.1,Q58DK4,Bos taurus,DHBK,Bifunctional ATP-dependent dihydroxyacetone ,3.00E-74
XP_004874357.1,Q32P84,Bos taurus,NEF1,UPF0197 transmembrane protein C11orf10 ,1.00E-36
XP_004874267.1,Q8TBC3,Bos taurus,SHKBP1,SH3KBP1-binding protein 1 OS=Homo sapiens ,0
XP_004874266.1,Q8TBC3,Bos taurus,SHKBP1,SH3KBP1-binding protein 1 OS=Homo sapiens ,0
XP_004874213.1,A7MB12,Bos taurus,UTP15,U3 small nucleolar RNA-associated protein ,0
XP_004874182.1,Q5RE35,Bos taurus,CD99L2,CD99 antigen-like protein 2 OS=Pongo abelii ,3.00E-71
XP_004874082.1,P49662,Bos taurus,CASP4,Caspase-4 OS=Homo sapiens GN=CASP4 PE=1 ,2.00E-130
XP_004874039.1,Q99489,Bos taurus,DDO,D-aspartate oxidase OS=Homo sapiens GN=DDO ,6.00E-162
XP_004874038.1,Q99489,Bos taurus,DDO,D-aspartate oxidase OS=Homo sapiens GN=DDO ,0
XP_004874037.1,Q99489,Bos taurus,DDO,D-aspartate oxidase OS=Homo sapiens GN=DDO ,0
XP_004874027.1,Q1RMP7,Bos taurus,PPIL6,Peptidyl-prolyl cis-trans isomerase-like ,6.00E-136
XP_004874026.1,Q1RMP7,Bos taurus,PPIL6,Peptidyl-prolyl cis-trans isomerase-like ,0
XP_004873989.1,Q9UJZ1,Bos taurus,Stoml2,Stomatin-like protein 2 OS=Homo sapiens ,5.00E-144
XP_004873988.1,Q9UJZ1,Bos taurus,Stoml2,Stomatin-like protein 2 OS=Homo sapiens ,0
XP_004873949.1,P37802,Bos taurus,TAGLN3,Transgelin-2 OS=Homo sapiens GN=TAGLN2 ,2.00E-94
XP_004873862.1,Q8IXI1,Bos taurus,RHOT2,Mitochondrial Rho GTPase 2 OS=Homo sapiens ,0
XP_004873854.1,Q9CQB2,Bos taurus,AMBP,Protein FAM195A OS=Mus musculus GN=Fam195a ,0
XP_004873757.1,Q2HJJ1,Bos taurus,MRPL28,"39S ribosomal protein L28, mitochondrial ",2.00E-160
XP_004873748.1,P82929,Bos taurus,MRPS34,"28S ribosomal protein S34, mitochondrial ",1.00E-109
XP_004873698.1,Q9ULW5,Bos taurus,RAB26,Ras-related protein Rab-26 OS=Homo sapiens ,4.00E-132
XP_004873696.1,Q9ULW5,Bos taurus,RAB26,Ras-related protein Rab-26 OS=Homo sapiens ,2.00E-168
XP_004873692.1,A6NDG6,Bos taurus,PGP,Phosphoglycolate phosphatase OS=Homo sapiens ,0
XP_004873689.1,Q17QU5,Bos taurus,MLST8,Target of rapamycin complex subunit LST8 ,0
XP_004873688.1,Q17QU5,Bos taurus,MLST8,Target of rapamycin complex subunit LST8 ,0
XP_004873687.1,Q17QU5,Bos taurus,MLST8,Target of rapamycin complex subunit LST8 ,0
XP_004873673.1,Q14554,Bos taurus,PDIA5,Protein disulfide-isomerase A5 OS=Homo ,0
XP_004873667.1,Q96EW2,Bos taurus,HSPBAP1,HSPB1-associated protein 1 OS=Homo sapiens ,0
XP_004873666.1,Q96EW2,Bos taurus,HSPBAP1,HSPB1-associated protein 1 OS=Homo sapiens ,0
XP_004873665.1,Q96EW2,Bos taurus,HSPBAP1,HSPB1-associated protein 1 OS=Homo sapiens ,0
XP_004873622.1,Q12816,Bos taurus,MAGED4,Trophinin OS=Homo sapiens GN=TRO PE=2 SV=3,6.00E-110
XP_004873621.1,Q12816,Bos taurus,MAGED4,Trophinin OS=Homo sapiens GN=TRO PE=2 SV=3,7.00E-110
XP_004873620.1,Q12816,Bos taurus,MAGED4,Trophinin OS=Homo sapiens GN=TRO PE=2 SV=3,7.00E-110
XP_004873619.1,Q12816,Bos taurus,MAGED4,Trophinin OS=Homo sapiens GN=TRO PE=2 SV=3,7.00E-110
XP_004873618.1,P49872,Bos taurus,PFKFB1,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase ",0
XP_004873570.1,O97593,Bos taurus,SMC1A,Structural maintenance of chromosomes protein ,0
XP_004873569.1,Q0VC09,Bos taurus,RIBC1,RIB43A-like with coiled-coils protein 1 ,1.00E-134
XP_004873466.1,Q8R0Y8,Bos taurus,SLC25A16,Solute carrier family 25 member 42 OS=Mus ,3.00E-46
XP_004873458.1,Q60445,Bos taurus,Cope,Coatomer subunit epsilon OS=Cricetulus griseus ,5.00E-89
XP_004873449.1,P35444,Bos taurus,ZC116.3,Cartilage oligomeric matrix protein OS=Rattus ,1.00E-18
XP_004873440.1,Q9UK28,Bos taurus,TMEM59L,Transmembrane protein 59-like OS=Homo sapiens ,0
XP_004873438.1,Q17Q97,Bos taurus,C19orf60,Uncharacterized protein C19orf60 homolog ,4.00E-63
XP_004873412.1,Q9NPH2,Bos taurus,ISYNA1,Inositol-3-phosphate synthase 1 OS=Homo ,0
XP_004873411.1,Q9NPH2,Bos taurus,ISYNA1,Inositol-3-phosphate synthase 1 OS=Homo ,0
XP_004873410.1,Q9NPH2,Bos taurus,ISYNA1,Inositol-3-phosphate synthase 1 OS=Homo ,0
XP_004873387.1,Q02543,Bos taurus,RPL18A,60S ribosomal protein L18a OS=Homo sapiens ,6.00E-128
XP_004873352.1,Q9BXS5,Bos taurus,AP1M1,AP-1 complex subunit mu-1 OS=Homo sapiens ,0
XP_004873351.1,Q9BXS5,Bos taurus,AP1M1,AP-1 complex subunit mu-1 OS=Homo sapiens ,0
XP_004873350.1,Q9BXS5,Bos taurus,AP1M1,AP-1 complex subunit mu-1 OS=Homo sapiens ,0
XP_004873349.1,Q9BXS5,Bos taurus,AP1M1,AP-1 complex subunit mu-1 OS=Homo sapiens ,0
XP_004873348.1,Q9BXS5,Bos taurus,AP1M1,AP-1 complex subunit mu-1 OS=Homo sapiens ,0
XP_004873347.1,Q9BXS5,Bos taurus,AP1M1,AP-1 complex subunit mu-1 OS=Homo sapiens ,4.00E-104
XP_004873346.1,Q9BXS5,Bos taurus,AP1M1,AP-1 complex subunit mu-1 OS=Homo sapiens ,0
XP_004873327.1,A5PK23,Bos taurus,MED26,Mediator of RNA polymerase II transcription ,0
XP_004873326.1,A4FV75,Bos taurus,TMEM38A,Trimeric intracellular cation channel type ,1.00E-143
XP_004873325.1,A4FV75,Bos taurus,Tmem38a,Trimeric intracellular cation channel type ,5.00E-49
XP_004873294.1,Q08E57,Bos taurus,ABHD8,BRCA1-A complex subunit MERIT40 OS=Bos ,0
XP_004873219.1,A5PJP1,Bos taurus,BLOC1S3,Biogenesis of lysosome-related organelles ,2.00E-59
XP_004873211.1,A0JNI5,Bos taurus,SFRS16,"Splicing factor, arginine/serine-rich 16 ",1.00E-124
XP_004873210.1,A0JNI5,Bos taurus,Sfrs16,"Splicing factor, arginine/serine-rich 16 ",2.00E-87
XP_004873209.1,A0JNI5,Bos taurus,Sfrs16,"Splicing factor, arginine/serine-rich 16 ",1.00E-125
XP_004873208.1,A0JNI5,Bos taurus,SFRS16,"Splicing factor, arginine/serine-rich 16 ",2.00E-125
XP_004873207.1,A0JNI5,Bos taurus,SFRS16,"Splicing factor, arginine/serine-rich 16 ",1.00E-124
XP_004873206.1,A0JNI5,Bos taurus,SFRS16,"Splicing factor, arginine/serine-rich 16 ",1.00E-124
XP_004873203.1,P18658,Bos taurus,APOC2,Apolipoprotein C-II OS=Macaca fascicularis ,1.00E-36
XP_004873201.1,P18658,Bos taurus,APOC2,Apolipoprotein C-II OS=Macaca fascicularis ,4.00E-36
XP_004873193.1,P50895,Bos taurus,BCAM,Basal cell adhesion molecule OS=Homo sapiens ,0
XP_004873192.1,P50895,Bos taurus,BCAM,Basal cell adhesion molecule OS=Homo sapiens ,0
XP_004873191.1,P50895,Bos taurus,BCAM,Basal cell adhesion molecule OS=Homo sapiens ,0
XP_004873177.1,Q86WZ6,Bos taurus,ZNF226,Zinc finger protein 227 OS=Homo sapiens ,0
XP_004873176.1,Q86WZ6,Bos taurus,ZNF226,Zinc finger protein 227 OS=Homo sapiens ,0
XP_004873175.1,Q86WZ6,Bos taurus,ZNF226,Zinc finger protein 227 OS=Homo sapiens ,0
XP_004873174.1,Q86WZ6,Bos taurus,ZNF226,Zinc finger protein 227 OS=Homo sapiens ,0
XP_004921277.1,Q6AYF9,Bos taurus,IRGC,Interferon-inducible GTPase 5 OS=Rattus norvegicus ,0
XP_004873165.1,Q05588,Bos taurus,Plaur,Urokinase plasminogen activator surface ,1.00E-120
XP_004873164.1,Q05588,Bos taurus,PLAUR,Urokinase plasminogen activator surface ,4.00E-138
XP_004873163.1,Q05588,Bos taurus,Plaur,Urokinase plasminogen activator surface ,1.00E-137
XP_004873162.1,Q05588,Bos taurus,PLAUR,Urokinase plasminogen activator surface ,3.00E-136
XP_004873161.1,Q05588,Bos taurus,PLAUR,Urokinase plasminogen activator surface ,3.00E-136
XP_004873142.1,Q9DCM0,Bos taurus,ETHE1,"Protein ETHE1, mitochondrial OS=Mus musculus ",2.00E-155
XP_004873130.1,Q32LE6,Bos taurus,Dmrtc2,Doublesex- and mab-3-related transcription ,1.00E-177
XP_004873129.1,Q32LE6,Bos taurus,Dmrtc2,Doublesex- and mab-3-related transcription ,1.00E-177
XP_004873128.1,Q32LE6,Bos taurus,Dmrtc2,Doublesex- and mab-3-related transcription ,1.00E-177
XP_004873079.1,A6NJB7,Bos taurus,PRR19,Proline-rich protein 19 OS=Homo sapiens ,3.00E-102
XP_004873077.1,A6NJB7,Bos taurus,TMEM145,Proline-rich protein 19 OS=Homo sapiens ,0
XP_004873052.1,Q3UK10,Bos taurus,B9D2,B9 domain-containing protein 2 OS=Mus musculus ,2.00E-120
XP_004873051.1,Q3UK10,Bos taurus,B9D2,B9 domain-containing protein 2 OS=Mus musculus ,2.00E-120
XP_004873023.1,Q5EAA4,Bos taurus,MOBKL2C,Mps one binder kinase activator-like 2C ,3.00E-156
XP_004873022.1,Q5EAA4,Bos taurus,MOBKL2C,Mps one binder kinase activator-like 2C ,3.00E-156
XP_004873021.1,Q5EAA4,Bos taurus,MOBKL2C,Mps one binder kinase activator-like 2C ,3.00E-156
XP_004873007.1,P00126,Bos taurus,UQCRH,"Cytochrome b-c1 complex subunit 6, mitochondrial ",2.00E-47
XP_004872984.1,Q5E9C8,Bos taurus,Mmachc,Methylmalonic aciduria and homocystinuria ,1.00E-160
XP_004872955.1,Q6PIY5,Bos taurus,C1orf228,Uncharacterized protein C1orf228 OS=Homo ,9.00E-168
XP_004872953.1,Q6PIY5,Bos taurus,C1orf228,Uncharacterized protein C1orf228 OS=Homo ,9.00E-168
XP_004872951.1,Q6PIY5,Bos taurus,RNF220,Uncharacterized protein C1orf228 OS=Homo ,0
XP_004872949.1,Q5VTB9,Bos taurus,RNF220,RING finger protein 220 OS=Homo sapiens ,0
XP_004872948.1,Q5VTB9,Bos taurus,RNF220,RING finger protein 220 OS=Homo sapiens ,0
XP_004872947.1,Q9D0Z3,Bos taurus,TMEM53,Transmembrane protein 53 OS=Mus musculus ,7.00E-158
XP_004872943.1,O43414,Bos taurus,Eri1,ERI1 exoribonuclease 3 OS=Homo sapiens GN=ERI3 ,3.00E-28
XP_004872942.1,O43414,Bos taurus,Eri1,ERI1 exoribonuclease 3 OS=Homo sapiens GN=ERI3 ,8.00E-38
XP_004872935.1,O75943,Bos taurus,CCDC125,Cell cycle checkpoint protein RAD17 OS=Homo ,0
XP_004872922.1,Q92973,Bos taurus,kap104,Transportin-1 OS=Homo sapiens GN=TNPO1 ,0
XP_004872921.1,Q92973,Bos taurus,kap104,Transportin-1 OS=Homo sapiens GN=TNPO1 ,0
XP_004872920.1,Q92973,Bos taurus,kap104,Transportin-1 OS=Homo sapiens GN=TNPO1 ,0
XP_004872919.1,Q92973,Bos taurus,kap104,Transportin-1 OS=Homo sapiens GN=TNPO1 ,0
XP_004872911.1,Q68RJ9,Bos taurus,CARTPT,Cocaine- and amphetamine-regulated transcript ,7.00E-54
XP_004872901.1,Q2TBV5,Bos taurus,GTF2H2,General transcription factor IIH subunit ,3.00E-171
XP_004872880.1,P12035,Bos taurus,KRT5,"Keratin, type II cytoskeletal 3 OS=Homo ",8.00E-134
XP_004872864.1,Q9DAN6,Bos taurus,GTSF1,Gametocyte-specific factor 1 OS=Mus musculus ,2.00E-116
XP_004872852.1,Q9NQS5,Bos taurus,GPR84,G-protein coupled receptor 84 OS=Homo sapiens ,0
XP_004872792.1,P05109,Bos taurus,S100B,Protein S100-A8 OS=Homo sapiens GN=S100A8 ,4.00E-11
XP_004872790.1,P05109,Bos taurus,S100A15A,Protein S100-A8 OS=Homo sapiens GN=S100A8 ,2.00E-23
